work_year,experience_level,employment_type,job_title,salary,salary_currency,employee_residence,remote_ratio,remote_work_type,company_location,company_size,job_category,exchange_rate,salary_in_usd,experience_level_description,employment_type_description,country_name
2020,MI,FT,Data Scientist,70000.0,EUR,DE,0,On-site only,DE,L,Data Science,0.876,79909.0,Mid-level (Junior),Full-time,Germany
2020,MI,FT,Data Scientist,70000.0,EUR,DE,0,On-site only,DE,L,Data Science,0.845,82840.0,Mid-level (Junior),Full-time,Germany
2020,MI,FT,Data Scientist,70000.0,EUR,DE,0,On-site only,DE,L,Data Science,1.0093,69355.0,Mid-level (Junior),Full-time,Germany
2020,MI,FT,Data Engineering Manager,51999.0,EUR,DE,100,Fully remote,DE,S,Leadership (DE),0.876,59360.0,Mid-level (Junior),Full-time,Germany
2020,MI,FT,Data Engineering Manager,51999.0,EUR,DE,100,Fully remote,DE,S,Leadership (DE),0.845,61537.0,Mid-level (Junior),Full-time,Germany
2020,MI,FT,Data Engineering Manager,51999.0,EUR,DE,100,Fully remote,DE,S,Leadership (DE),1.0093,51520.0,Mid-level (Junior),Full-time,Germany
2021,MI,FT,Data Scientist,76760.0,EUR,DE,50,Hybird,DE,L,Data Science,0.876,87626.0,Mid-level (Junior),Full-time,Germany
2021,MI,FT,Data Scientist,76760.0,EUR,DE,50,Hybird,DE,L,Data Science,0.845,90840.0,Mid-level (Junior),Full-time,Germany
2021,MI,FT,Data Scientist,76760.0,EUR,DE,50,Hybird,DE,L,Data Science,1.0093,76053.0,Mid-level (Junior),Full-time,Germany
2021,MI,FT,Data Scientist,75000.0,EUR,DE,50,Hybird,DE,L,Data Science,0.876,85616.0,Mid-level (Junior),Full-time,Germany
2021,MI,FT,Data Scientist,75000.0,EUR,DE,50,Hybird,DE,L,Data Science,0.845,88757.0,Mid-level (Junior),Full-time,Germany
2021,MI,FT,Data Scientist,75000.0,EUR,DE,50,Hybird,DE,L,Data Science,1.0093,74309.0,Mid-level (Junior),Full-time,Germany
2021,MI,FT,Data Scientist,21600.0,EUR,RS,100,Fully remote,DE,S,Data Science,0.876,24658.0,Mid-level (Junior),Full-time,Germany
2021,MI,FT,Data Scientist,21600.0,EUR,RS,100,Fully remote,DE,S,Data Science,0.845,25562.0,Mid-level (Junior),Full-time,Germany
2021,MI,FT,Data Scientist,21600.0,EUR,RS,100,Fully remote,DE,S,Data Science,1.0093,21401.0,Mid-level (Junior),Full-time,Germany
2022,MI,FT,Machine Learning Engineer,80000.0,EUR,FR,100,Fully remote,DE,M,Machine Learning,0.876,91324.0,Mid-level (Junior),Full-time,Germany
2022,MI,FT,Machine Learning Engineer,80000.0,EUR,FR,100,Fully remote,DE,M,Machine Learning,0.845,94675.0,Mid-level (Junior),Full-time,Germany
2022,MI,FT,Machine Learning Engineer,80000.0,EUR,FR,100,Fully remote,DE,M,Machine Learning,1.0093,79263.0,Mid-level (Junior),Full-time,Germany
2020,EN,FT,Data Engineer,48000.0,EUR,PK,100,Fully remote,DE,L,Data Engineering,0.876,54795.0,Entry-level,Full-time,Germany
2020,EN,FT,Data Engineer,48000.0,EUR,PK,100,Fully remote,DE,L,Data Engineering,0.845,56805.0,Entry-level,Full-time,Germany
2020,EN,FT,Data Engineer,48000.0,EUR,PK,100,Fully remote,DE,L,Data Engineering,1.0093,47558.0,Entry-level,Full-time,Germany
2020,EN,FT,Data Scientist,55000.0,EUR,DE,50,Hybird,DE,S,Data Science,0.876,62785.0,Entry-level,Full-time,Germany
2020,EN,FT,Data Scientist,55000.0,EUR,DE,50,Hybird,DE,S,Data Science,0.845,65089.0,Entry-level,Full-time,Germany
